Run_ID,Test_ID,Duration_sec,Peak_Mem_MB,Max_CPU_User,Max_CPU_Sys,Total_Read_MB,Total_Write_MB
21551363675,kiwisolver_1769896196645152094,0.1,617.2,7048.0,553.0,0.0,0.0
21551363675,iniconfig_1769896196118492527,0.0,632.43,7041.0,552.0,0.0,0.0
21551363675,smmap_1769896195915353406,0.0,636.77,7036.0,550.0,0.0,0.0
21551363675,openpyxl_1769896196313639599,0.1,629.61,7044.0,553.0,0.0,0.0
21551515895,uritemplate_1769896711714116088,0.2,657.09,7234.0,604.0,0.0,0.0
21551515895,click_1769896712088332801,0.4,616.65,7248.0,605.0,0.0,0.0
21550217316,ciso8601_1769890234029791597,7.12,662.01,2257.0,429.0,0.0,0.0
21550217316,jupyter-events_1769890225824636701,8.02,672.98,1930.0,385.0,0.0,0.0
21550217316,tomli_1769890241327674209,4.11,678.7,2549.0,492.0,0.0,0.0
21550217316,ujson_1769890245648575911,0.4,593.29,2707.0,513.0,0.0,0.0
21549886835,google-cloud-orchestration-airflow_1769888650231927798,0.3,520.27,1733.0,437.0,0.0,0.0
21549886835,google-cloud-vision_1769888650778979037,0.4,531.3,1743.0,449.0,0.0,0.0
21549886835,langcodes_1769888640973343071,9.02,667.52,1529.0,382.0,0.0,0.0
21549886835,tableauserverclient_1769888651415414968,7.32,703.17,1745.0,463.0,0.0,0.0
